tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
13,21,-2.380661,-1.562800,102.4629,107.5834
14,5,-1.682603,-0.668061,-61.7221,-11.9228
14,6,-1.661834,-0.692113,-82.6967,-28.2524
14,7,-1.636267,-0.717049,-108.5415,-46.4617
14,8,-1.604526,-0.750065,-115.1485,-56.9470
14,9,-1.574450,-0.779063,-115.1485,-71.4206
14,10,-1.627180,-0.756308,-115.1485,-85.5456
14,18,-1.610034,-0.756646,64.4827,107.5845
14,19,-1.592337,-0.748667,71.8337,107.5845
14,20,-1.595534,-0.766205,88.9418,107.5845
14,21,-1.587918,-0.773066,102.4626,107.5837
15,5,-0.904088,0.118118,-61.8029,-11.3359
15,6,-0.881086,0.098179,-82.7517,-28.4771
15,7,-0.854130,0.067956,-108.5415,-46.4617
15,8,-0.820213,0.031815,-115.1485,-56.9470
15,9,-0.792711,0.008649,-115.1485,-71.4206
15,10,-0.821323,0.031738,-115.1485,-90.7655
15,18,-0.822145,0.040377,64.3780,107.5837
15,19,-0.803506,0.022143,77.4931,107.5841
15,20,-0.802165,0.028754,88.9418,107.5845
15,21,-0.788447,0.021432,102.4627,107.5841
16,5,-0.117558,0.912171,-30.9214,8.4568
16,6,-0.093204,0.882340,-38.5637,5.5692
16,7,-0.065366,0.859550,-48.3568,1.8337
16,8,-0.033668,0.821244,-66.2470,2.7661
16,9,-0.010484,0.795125,-85.5456,2.7661
16,10,-0.043284,0.820676,-110.1235,12.6545
17,5,0.663770,1.691529,-31.7300,8.6035
17,6,0.685927,1.668288,-39.0132,4.9824
17,7,0.718101,1.639925,-48.3568,1.6870
17,8,0.751094,1.607347,-66.2470,2.7661
17,9,0.781072,1.575208,-80.5206,7.7911
17,10,0.745257,1.610586,-110.1235,12.6545
18,5,1.446912,2.479504,-30.7747,8.8969
18,6,1.471307,2.459577,-38.7885,6.0093
18,7,1.499137,2.427313,-48.4624,2.2738
18,8,1.535598,2.392938,-66.2470,2.7661
18,9,1.549237,2.361852,-85.5456,2.7661
18,10,1.534050,2.398047,-110.1235,7.7911
19,5,2.229422,3.262599,-31.4733,8.4568
19,6,2.260473,3.239108,-38.5637,5.5692
19,7,2.287053,3.210383,-48.1458,1.9804
19,8,2.320358,3.177118,-66.2470,2.7661
19,9,2.346650,3.153460,-80.5206,7.7911
19,10,2.321780,3.141537,-110.1235,12.6545
20,5,3.021848,4.047624,-30.7013,7.4299
20,6,3.042746,4.029872,-38.2050,4.8357
20,7,3.074324,4.000787,-48.5679,1.3936
20,8,3.107416,3.963798,-66.2470,2.7661
20,9,3.133638,3.936641,-80.5206,7.7911
20,10,-3.141569,-2.312855,-110.1235,12.6545
21,5,-2.479867,-1.454750,-29.0340,9.0436
21,6,-2.452856,-1.476472,-38.3389,6.0093
21,7,-2.425593,-1.501927,-48.2513,1.8337
21,8,-2.393322,-1.537513,-61.2220,2.7661
21,9,-2.361605,-1.566371,-85.5456,7.7911
21,10,-2.395466,-1.529672,-110.1235,12.6545
22,5,-1.683485,-0.664096,-29.2341,8.8969
22,6,-1.660473,-0.691948,-38.7885,6.0093
22,7,-1.637473,-0.719412,-48.4624,2.2629
22,8,-1.604079,-0.751285,-61.2220,2.7661
